number	accession	filename
485	SRR35053248	6_SRR35053248_db3.bracken.kraken2.report_bracken.txt
486	SRR36041413	6_SRR36041413_db3.bracken.kraken2.report_bracken.txt
487	6_appg	6_appg.report_bracken.txt
488	SRR10592650	7_SRR10592650_db3.bracken.kraken2.report_bracken.txt
489	SRR31935454	7_SRR31935454_db3.bracken.kraken2.report_bracken.txt
490	SRR35053249	7_SRR35053249_db3.bracken.kraken2.report_bracken.txt
491	SRR36041414	7_SRR36041414_db3.bracken.kraken2.report_bracken.txt
492	7_appg	7_appg.report_bracken.txt
493	SRR10592651	8_SRR10592651_db3.bracken.kraken2.report_bracken.txt
494	SRR31935455	8_SRR31935455_db3.bracken.kraken2.report_bracken.txt
495	SRR35053250	8_SRR35053250_db3.bracken.kraken2.report_bracken.txt
496	SRR36041415	8_SRR36041415_db3.bracken.kraken2.report_bracken.txt
497	8_appg	8_appg.report_bracken.txt
498	SRR10592652	9_SRR10592652_db3.bracken.kraken2.report_bracken.txt
499	SRR31935456	9_SRR31935456_db3.bracken.kraken2.report_bracken.txt
500	SRR35053251	9_SRR35053251_db3.bracken.kraken2.report_bracken.txt
501	SRR36041416	9_SRR36041416_db3.bracken.kraken2.report_bracken.txt
502	9_appg	9_appg.report_bracken.txt
503	SRR10592653	10_SRR10592653_db3.bracken.kraken2.report_bracken.txt
504	SRR31935457	10_SRR31935457_db3.bracken.kraken2.report_bracken.txt
505	SRR35053252	10_SRR35053252_db3.bracken.kraken2.report_bracken.txt
506	SRR36041417	10_SRR36041417_db3.bracken.kraken2.report_bracken.txt
507	10_appg	10_appg.report_bracken.txt
508	SRR10592654	11_SRR10592654_db3.bracken.kraken2.report_bracken.txt
509	SRR31935458	11_SRR31935458_db3.bracken.kraken2.report_bracken.txt
510	SRR35053253	11_SRR35053253_db3.bracken.kraken2.report_bracken.txt
511	SRR36041418	11_SRR36041418_db3.bracken.kraken2.report_bracken.txt
512	11_appg	11_appg.report_bracken.txt
513	SRR10592655	12_SRR10592655_db3.bracken.kraken2.report_bracken.txt
514	SRR31935459	12_SRR31935459_db3.bracken.kraken2.report_bracken.txt
515	SRR35053254	12_SRR35053254_db3.bracken.kraken2.report_bracken.txt
516	SRR36041419	12_SRR36041419_db3.bracken.kraken2.report_bracken.txt
517	12_appg	12_appg.report_bracken.txt
518	SRR10592656	13_SRR10592656_db3.bracken.kraken2.report_bracken.txt
519	SRR31935460	13_SRR31935460_db3.bracken.kraken2.report_bracken.txt
520	SRR35053255	13_SRR35053255_db3.bracken.kraken2.report_bracken.txt
521	SRR36041420	13_SRR36041420_db3.bracken.kraken2.report_bracken.txt
522	13_appg	13_appg.report_bracken.txt
523	SRR10592657	14_SRR10592657_db3.bracken.kraken2.report_bracken.txt
524	SRR31935461	14_SRR31935461_db3.bracken.kraken2.report_bracken.txt
525	SRR35053256	14_SRR35053256_db3.bracken.kraken2.report_bracken.txt
526	SRR36041421	14_SRR36041421_db3.bracken.kraken2.report_bracken.txt
527	14_appg	14_appg.report_bracken.txt
528	SRR10592658	15_SRR10592658_db3.bracken.kraken2.report_bracken.txt
529	SRR31935462	15_SRR31935462_db3.bracken.kraken2.report_bracken.txt
530	SRR35053257	15_SRR35053257_db3.bracken.kraken2.report_bracken.txt
531	SRR36041422	15_SRR36041422_db3.bracken.kraken2.report_bracken.txt
532	15_appg	15_appg.report_bracken.txt
533	SRR10592659	16_SRR10592659_db3.bracken.kraken2.report_bracken.txt
