trait;type;category;;;
assimilation: 2-deoxyadenosine;discreto;sem_relevancia;;;
assimilation: 2-hydroxybutyrate;discreto;sem_relevancia;;;
assimilation: 2-naphthyl dihydrogen phosphate;discreto;sem_relevancia;;;
assimilation: 2-oxobutanoate;discreto;sem_relevancia;;;
assimilation: 2-oxogluconate;discreto;sem_relevancia;;;
assimilation: 2-oxoglutarate;discreto;sem_relevancia;;;
assimilation: 2-oxopentanoate;discreto;sem_relevancia;;;
assimilation: 3-O-methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
assimilation: 3-O-methyl-D-glucose;discreto;sem_relevancia;;;
assimilation: 3-aminobenzoate;discreto;sem_relevancia;;;
assimilation: 3-aminobutyrate;discreto;sem_relevancia;;;
assimilation: 3-dehydro-D-gluconate;discreto;sem_relevancia;;;
assimilation: 3-hydroxy 2-butanone;discreto;sem_relevancia;;;
assimilation: 3-hydroxybenzoate;discreto;sem_relevancia;;;
assimilation: 3-hydroxybutyrate;discreto;sem_relevancia;;;
assimilation: 3-methylglucose;discreto;sem_relevancia;;;
assimilation: 3-phenylpropionate;discreto;sem_relevancia;;;
assimilation: 4;4-dihydroxy-biphenyl;discreto;sem_relevancia;;
assimilation: 4-aminobutyrate;discreto;sem_relevancia;;;
assimilation: 4-coumarate;discreto;sem_relevancia;;;
assimilation: 4-hydroxy-L-proline;discreto;sem_relevancia;;;
assimilation: 4-hydroxybenzoate;discreto;sem_relevancia;;;
assimilation: 4-hydroxybutyrate;discreto;sem_relevancia;;;
assimilation: 4-hydroxyphenylacetic acid;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl N-acetyl-beta-D-glucosaminide;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl alpha-L-arabinoside;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl beta-D-galactopyranoside;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl beta-D-galactopyranoside hydrolysate;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl beta-D-glucopyranoside;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl beta-D-glucuronide;discreto;sem_relevancia;;;
assimilation: 4-nitrophenyl-beta-D-galactoside;discreto;sem_relevancia;;;
assimilation: 4-oxopentanoate;discreto;sem_relevancia;;;
assimilation: 5-aminovalerate;discreto;sem_relevancia;;;
assimilation: 5-aminovaleric acid;discreto;sem_relevancia;;;
assimilation: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
assimilation: 5-oxoproline;discreto;sem_relevancia;;;
assimilation: Capric acid;discreto;sem_relevancia;;;
assimilation: D-alanine;discreto;sem_relevancia;;;
assimilation: D-arabinose;discreto;sem_relevancia;;;
assimilation: D-arabitol;discreto;sem_relevancia;;;
assimilation: D-aspartate;discreto;sem_relevancia;;;
assimilation: D-fructose;discreto;sem_relevancia;;;
assimilation: D-fructose 6-phosphate;discreto;sem_relevancia;;;
assimilation: D-fucose;discreto;sem_relevancia;;;
assimilation: D-galactose;discreto;sem_relevancia;;;
assimilation: D-galacturonic acid;discreto;sem_relevancia;;;
assimilation: D-gluconate;discreto;sem_relevancia;;;
assimilation: D-glucosaminic acid;discreto;sem_relevancia;;;
assimilation: D-glucose;discreto;sem_relevancia;;;
assimilation: D-glucose 6-phosphate;discreto;sem_relevancia;;;
assimilation: D-glucuronate;discreto;sem_relevancia;;;
assimilation: D-lactate;discreto;sem_relevancia;;;
assimilation: D-lactic acid methyl ester;discreto;sem_relevancia;;;
assimilation: D-lyxose;discreto;sem_relevancia;;;
assimilation: D-malate;discreto;sem_relevancia;;;
assimilation: D-maltose;discreto;sem_relevancia;;;
assimilation: D-mannitol;discreto;sem_relevancia;;;
assimilation: D-mannose;discreto;sem_relevancia;;;
assimilation: D-psicose;discreto;sem_relevancia;;;
assimilation: D-rhamnose;discreto;sem_relevancia;;;
assimilation: D-ribose;discreto;sem_relevancia;;;
assimilation: D-saccharate;discreto;sem_relevancia;;;
assimilation: D-salicin;discreto;sem_relevancia;;;
assimilation: D-serine;discreto;sem_relevancia;;;
assimilation: D-sorbitol;discreto;sem_relevancia;;;
assimilation: D-tagatose;discreto;sem_relevancia;;;
assimilation: D-trehalose;discreto;sem_relevancia;;;
assimilation: D-valine;discreto;sem_relevancia;;;
assimilation: D-xylose;discreto;sem_relevancia;;;
assimilation: L-alaninamide;discreto;sem_relevancia;;;
assimilation: L-alanine;discreto;sem_relevancia;;;
assimilation: L-alanine 4-nitroanilide;discreto;sem_relevancia;;;
assimilation: L-arabinose;discreto;sem_relevancia;;;
assimilation: L-arabitol;discreto;sem_relevancia;;;
assimilation: L-arginine;discreto;sem_relevancia;;;
assimilation: L-arginine-2-naphthylamide;discreto;sem_relevancia;;;
assimilation: L-asparagine;discreto;sem_relevancia;;;
assimilation: L-aspartate;discreto;sem_relevancia;;;
assimilation: L-cysteine;discreto;sem_relevancia;;;
assimilation: L-fucose;discreto;sem_relevancia;;;
assimilation: L-glutamate;discreto;sem_relevancia;;;
assimilation: L-glutamine;discreto;sem_relevancia;;;
assimilation: L-histidine;discreto;sem_relevancia;;;
assimilation: L-isoleucine;discreto;sem_relevancia;;;
assimilation: L-lactate;discreto;sem_relevancia;;;
assimilation: L-leucine;discreto;sem_relevancia;;;
assimilation: L-lysine;discreto;sem_relevancia;;;
assimilation: L-malate;discreto;sem_relevancia;;;
assimilation: L-ornithine;discreto;sem_relevancia;;;
assimilation: L-phenylalanine;discreto;sem_relevancia;;;
assimilation: L-proline;discreto;sem_relevancia;;;
assimilation: L-rhamnose;discreto;sem_relevancia;;;
assimilation: L-serine;discreto;sem_relevancia;;;
assimilation: L-tartrate;discreto;sem_relevancia;;;
assimilation: L-threonine;discreto;sem_relevancia;;;
